id;cid;ctype;centername;coi;facilityname;zipcode;address
1;83574;line ADP Carolina;Handmade;haptic;utilisation;52726;productivity visualize
2;28094;Brand Profound;Salvador Designer leverage;Wisconsin Intranet;Account;43827;users
3;10451;modular;optical Savings Mouse;Principal matrices;solid Gorgeous;92967;Grocery Frozen
4;50765;Branding Borders Soap;virtual Avon Isle;Villages;Missouri killer indexing;26330;1080p Triple-buffered
5;45266;Corporate definition Jamaica;purple Account;Horizontal whiteboard paradigms;Designer Concrete Jersey;36352;Wyoming Investor
6;31090;Shirt model Frozen;Personal;Loan;Views;47977;wireless Borders
7;5754;Ball functionalities Forint;Developer alarm Virtual;Plastic distributed;Paradigm Mobility;40763;Estonia
8;8401;CSS Chicken;Wooden online Architect;olive;Paradigm adapter;31860;mobile
9;33475;index Bedfordshire Handcrafted;applications;Track;architectures Creative;35639;didactic e-commerce National
10;1783;azure;Technician Account;Honduras fresh-thinking JBOD;Card quantifying;63674;payment
